,id,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
1841,R02212,"Progesterone,hydrogen-donor:oxygen oxidoreductase (hydroxylating)",C00410 + C00030 + C00007 <=> C03027 + C00028 + C00001,Progesterone + Reduced acceptor + Oxygen <=> Testosterone acetate + Acceptor + H2O,1.14.99.4,"['C00410', 'C00030', 'C00007']","['C03027', 'C00028', 'C00001']","[1, 1, 1]","[1, 1, 1]"
1842,R02213,"progesterone,NADPH-hemoprotein reductase:oxygen oxidoreductase (21-hydroxylating)",C00410 + C03024 + C00007 <=> C03205 + C03161 + C00001,Progesterone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 11-Deoxycorticosterone + [Oxidized NADPH---hemoprotein reductase] + H2O,1.14.14.16,"['C00410', 'C03024', 'C00007']","['C03205', 'C03161', 'C00001']","[1, 1, 1]","[1, 1, 1]"
1843,R02214,"Progesterone,hydrogen-donor:oxygen oxidoreductase (11alpha-hydroxylating)",C00410 + C00030 + C00007 <=> C03747 + C00028 + C00001,Progesterone + Reduced acceptor + Oxygen <=> 11alpha-Hydroxyprogesterone + Acceptor + H2O,1.14.99.14,"['C00410', 'C00030', 'C00007']","['C03747', 'C00028', 'C00001']","[1, 1, 1]","[1, 1, 1]"
1844,R02215,"5beta-Pregnane-3,20-dione:(acceptor) delta4-oxidoreductase",C05479 + C00028 <=> C00410 + C00030,"5beta-Pregnane-3,20-dione + Acceptor <=> Progesterone + Reduced acceptor",1.3.99.6,"['C05479', 'C00028']","['C00410', 'C00030']","[1, 1]","[1, 1]"
1845,R02216,Pregnenolone:NAD+ 3-oxidoreductase,C01953 + C00003 <=> C00410 + C00004 + C00080,Pregnenolone + NAD+ <=> Progesterone + NADH + H+,1.1.1.145       5.3.3.1,"['C01953', 'C00003']","['C00410', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
1846,R02218,"progesterone,reduced ferredoxin:oxygen oxidoreductase (11-hydroxylating)",C00410 + 2 C00138 + C00007 + 2 C00080 <=> C05498 + 2 C00139 + C00001,Progesterone + 2 Reduced ferredoxin + Oxygen + 2 H+ <=> 11beta-Hydroxyprogesterone + 2 Oxidized ferredoxin + H2O,1.14.15.4,"['C00410', 'C00138', 'C00007', 'C00080']","['C05498', 'C00139', 'C00001']","[1, '2', 1, '2']","[1, '2', 1]"
1847,R02219,3-Oxo-5beta-steroid:NADP+ delta4-oxidoreductase,C00410 + C00005 + C00080 <=> C05479 + C00006,"Progesterone + NADPH + H+ <=> 5beta-Pregnane-3,20-dione + NADP+",1.3.1.3         1.3.99.6,"['C00410', 'C00005', 'C00080']","['C05479', 'C00006']","[1, 1, 1]","[1, 1]"
1848,R02220,sinapoyl aldehyde:NADP+ oxidoreductase (CoA-sinapoylating),C05610 + C00010 + C00006 <=> C00411 + C00005 + C00080,Sinapoyl aldehyde + CoA + NADP+ <=> Sinapoyl-CoA + NADPH + H+,1.2.1.44,"['C05610', 'C00010', 'C00006']","['C00411', 'C00005', 'C00080']","[1, 1, 1]","[1, 1, 1]"
1849,R02221,Sinapate:CoA ligase (AMP-forming),C00002 + C00482 + C00010 <=> C00020 + C00013 + C00411,ATP + Sinapate + CoA <=> AMP + Diphosphate + Sinapoyl-CoA,6.2.1.12,"['C00002', 'C00482', 'C00010']","['C00020', 'C00013', 'C00411']","[1, 1, 1]","[1, 1, 1]"
1850,R02222,"steroyl-CoA,hydrogen-donor:oxygen oxidoreductase",C00412 + 2 C00999 + C00007 + 2 C00080 <=> C00510 + 2 C00996 + 2 C00001,Stearoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> Oleoyl-CoA + 2 Ferricytochrome b5 + 2 H2O,1.14.19.1,"['C00412', 'C00999', 'C00007', 'C00080']","['C00510', 'C00996', 'C00001']","[1, '2', 1, '2']","[1, '2', '2']"
1851,R02224,"Stearoyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating, oxoacyl- and enoyl-reducing)",C00412 + C00083 + 2 C00005 + 2 C00080 <=> C02041 + C00011 + 2 C00006 + C00010 + C00001,Stearoyl-CoA + Malonyl-CoA + 2 NADPH + 2 H+ <=> Eicosanoyl-CoA + CO2 + 2 NADP+ + CoA + H2O,,"['C00412', 'C00083', 'C00005', 'C00080']","['C02041', 'C00011', 'C00006', 'C00010', 'C00001']","[1, 1, '2', '2']","[1, 1, '2', 1, 1]"
1852,R02225,ATP:streptomycin 6-phosphotransferase,C00002 + C00413 <=> C00008 + C01138,ATP + Streptomycin <=> ADP + Streptomycin 6-phosphate,2.7.1.72,"['C00002', 'C00413']","['C00008', 'C01138']","[1, 1]","[1, 1]"
1853,R02226,ATP:streptomycin 3''-adenylyltransferase,C00002 + C00413 <=> C00013 + C03462,ATP + Streptomycin <=> Diphosphate + 3''-Adenylylstreptomycin,2.7.7.47,"['C00002', 'C00413']","['C00013', 'C03462']","[1, 1]","[1, 1]"
1854,R02227,ATP:streptomycin 3''-phosphotransferase,C00002 + C00413 <=> C00008 + C03731,ATP + Streptomycin <=> ADP + Streptomycin 3''-phosphate,2.7.1.87,"['C00002', 'C00413']","['C00008', 'C03731']","[1, 1]","[1, 1]"
1855,R02228,Streptomycin-6-phosphate phosphohydrolase,C01138 + C00001 <=> C00413 + C00009,Streptomycin 6-phosphate + H2O <=> Streptomycin + Orthophosphate,3.1.3.39,"['C01138', 'C00001']","['C00413', 'C00009']","[1, 1]","[1, 1]"
1856,R02229,cyclohexanol:NAD+ oxidoreductase,C00414 + C00004 + C00080 <=> C00854 + C00003,Cyclohexanone + NADH + H+ <=> Cyclohexanol + NAD+,1.1.1.163       1.1.1.245,"['C00414', 'C00004', 'C00080']","['C00854', 'C00003']","[1, 1, 1]","[1, 1]"
1857,R02231,"Cyclohexanone,NADPH:oxygen oxidoreductase (6-hydroxylating 1,2-lactonizing)",C00414 + C00007 + C00005 + C00080 <=> C01880 + C00006 + C00001,Cyclohexanone + Oxygen + NADPH + H+ <=> epsilon-Caprolactone + NADP+ + H2O,1.14.13.22,"['C00414', 'C00007', 'C00005', 'C00080']","['C01880', 'C00006', 'C00001']","[1, 1, 1, 1]","[1, 1, 1]"
1858,R02232,(1-Hydroxycyclohexan-1-yl)acetyl-CoA cyclohexanone-lyase,C04316 <=> C00024 + C00414,(1-Hydroxycyclohexan-1-yl)acetyl-CoA <=> Acetyl-CoA + Cyclohexanone,4.1.3.35,['C04316'],"['C00024', 'C00414']",[1],"[1, 1]"
1859,R02233,Cyclohexylamine:oxygen oxidoreductase (deaminating),C00571 + C00007 + C00001 <=> C00414 + C00027 + C00014,Cyclohexylamine + Oxygen + H2O <=> Cyclohexanone + Hydrogen peroxide + Ammonia,1.4.3.12,"['C00571', 'C00007', 'C00001']","['C00414', 'C00027', 'C00014']","[1, 1, 1]","[1, 1, 1]"
1860,R02234,Cyclohexanone:(acceptor) 2-oxidoreductase,C00414 + C00028 <=> C02395 + C00030,Cyclohexanone + Acceptor <=> Cyclohex-2-enone + Reduced acceptor,1.3.99.14,"['C00414', 'C00028']","['C02395', 'C00030']","[1, 1]","[1, 1]"
1861,R02235,dihydrofolate:NAD+ oxidoreductase,C00415 + C00003 <=> C00504 + C00004 + C00080,Dihydrofolate + NAD+ <=> Folate + NADH + H+,1.5.1.3,"['C00415', 'C00003']","['C00504', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
1862,R02236,dihydrofolate:NADP+ oxidoreductase,C00415 + C00006 <=> C00504 + C00005 + C00080,Dihydrofolate + NADP+ <=> Folate + NADPH + H+,1.5.1.3,"['C00415', 'C00006']","['C00504', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
1863,R02237,"7,8-dihydropteroate:L-glutamate ligase (ADP-forming)",C00002 + C00921 + C00025 <=> C00008 + C00009 + C00415,ATP + Dihydropteroate + L-Glutamate <=> ADP + Orthophosphate + Dihydrofolate,6.3.2.12        6.3.2.17,"['C00002', 'C00921', 'C00025']","['C00008', 'C00009', 'C00415']","[1, 1, 1]","[1, 1, 1]"
1864,R02238,Formate:dihydrofolate ligase (ADP-forming),C00002 + C00058 + C00415 <=> C00008 + C00009 + C03204,ATP + Formate + Dihydrofolate <=> ADP + Orthophosphate + 10-Formyldihydrofolate,6.3.4.17,"['C00002', 'C00058', 'C00415']","['C00008', 'C00009', 'C03204']","[1, 1, 1]","[1, 1, 1]"
1865,R02239,"1,2-diacyl-sn-glycerol 3-phosphate phosphohydrolase",C00416 + C00001 <=> C00641 + C00009,"Phosphatidate + H2O <=> 1,2-Diacyl-sn-glycerol + Orthophosphate",3.1.3.4,"['C00416', 'C00001']","['C00641', 'C00009']","[1, 1]","[1, 1]"
1866,R02240,"ATP:1,2-diacylglycerol 3-phosphotransferase",C00002 + C00641 <=> C00008 + C00416,"ATP + 1,2-Diacyl-sn-glycerol <=> ADP + Phosphatidate",2.7.1.107,"['C00002', 'C00641']","['C00008', 'C00416']","[1, 1]","[1, 1]"
1867,R02241,acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase,C00416 + C00010 <=> C00681 + C00040,Phosphatidate + CoA <=> 1-Acyl-sn-glycerol 3-phosphate + Acyl-CoA,2.3.1.51,"['C00416', 'C00010']","['C00681', 'C00040']","[1, 1]","[1, 1]"
1868,R02242,Acyl-CoA:2-acyl-sn-glycerol-3-phosphate O-acyltransferase,C00040 + C03974 <=> C00010 + C00416,Acyl-CoA + 2-Acyl-sn-glycerol 3-phosphate <=> CoA + Phosphatidate,2.3.1.52,"['C00040', 'C03974']","['C00010', 'C00416']","[1, 1]","[1, 1]"
1869,R02243,cis-Aconitate carboxy-lyase,C00417 <=> C00490 + C00011,cis-Aconitate <=> Itaconate + CO2,4.1.1.6,['C00417'],"['C00490', 'C00011']",[1],"[1, 1]"
1870,R02244,trans-aconitate delta2-delta3-isomerase,C02341 <=> C00417,trans-Aconitate <=> cis-Aconitate,5.3.3.7,['C02341'],['C00417'],[1],[1]
1871,R02245,ATP:(R)-mevalonate 5-phosphotransferase,C00002 + C00418 <=> C00008 + C01107,ATP + (R)-Mevalonate <=> ADP + (R)-5-Phosphomevalonate,2.7.1.36,"['C00002', 'C00418']","['C00008', 'C01107']","[1, 1]","[1, 1]"
1872,R02246,(R)-Mevalonate:NAD+ oxidoreductase,C00418 + C00003 <=> C00772 + C00004 + C00080,(R)-Mevalonate + NAD+ <=> Mevaldate + NADH + H+,1.1.1.32,"['C00418', 'C00003']","['C00772', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
1873,R02247,(R)-Mevalonate:NADP+ oxidoreductase,C00418 + C00006 <=> C00772 + C00005 + C00080,(R)-Mevalonate + NADP+ <=> Mevaldate + NADPH + H+,1.1.1.33,"['C00418', 'C00006']","['C00772', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
1874,R02248,Polynucleotide 3'-phosphohydrolase,C03463 + C00001 <=> C00419 + C00009,3'-Phosphopolynucleotide + H2O <=> Polynucleotide + Orthophosphate,3.1.3.32,"['C03463', 'C00001']","['C00419', 'C00009']","[1, 1]","[1, 1]"
1875,R02249,5'-Phosphopolynucleotide 5'-phosphohydrolase,C03475 + C00001 <=> C00419 + C00009,5'-Phosphopolynucleotide + H2O <=> Polynucleotide + Orthophosphate,3.1.3.33,"['C03475', 'C00001']","['C00419', 'C00009']","[1, 1]","[1, 1]"
1876,R02250,triacylglycerol acylhydrolase,C00422 + C00001 <=> C00641 + C00162,"Triacylglycerol + H2O <=> 1,2-Diacyl-sn-glycerol + Fatty acid",3.1.1.3,"['C00422', 'C00001']","['C00641', 'C00162']","[1, 1]","[1, 1]"
1877,R02251,"acyl-CoA:1,2-diacyl-sn-glycerol O-acyltransferase",C00422 + C00010 <=> C00641 + C00040,"Triacylglycerol + CoA <=> 1,2-Diacyl-sn-glycerol + Acyl-CoA",2.3.1.20,"['C00422', 'C00010']","['C00641', 'C00040']","[1, 1]","[1, 1]"
1878,R02252,phenylpropanoate:NAD+ delta2-oxidoreductase,C05629 + C00003 <=> C00423 + C00004 + C00080,Phenylpropanoate + NAD+ <=> trans-Cinnamate + NADH + H+,1.3.1.31,"['C05629', 'C00003']","['C00423', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
1879,R02253,"trans-cinnamate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (4-hydroxylating)",C00423 + C03024 + C00007 <=> C00811 + C03161 + C00001,trans-Cinnamate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 4-Coumarate + [Oxidized NADPH---hemoprotein reductase] + H2O,1.14.14.91,"['C00423', 'C03024', 'C00007']","['C00811', 'C03161', 'C00001']","[1, 1, 1]","[1, 1, 1]"
1880,R02254,"trans-Cinnamate,NADPH:oxygen oxidoreductase (2-hydroxylating)",C00423 + C00007 + C00005 + C00080 <=> C01772 + C00006 + C00001,trans-Cinnamate + Oxygen + NADPH + H+ <=> trans-2-Hydroxycinnamate + NADP+ + H2O,1.14.13.14,"['C00423', 'C00007', 'C00005', 'C00080']","['C01772', 'C00006', 'C00001']","[1, 1, 1, 1]","[1, 1, 1]"
1881,R02255,trans-Cinnamate:CoA ligase (AMP-forming),C00002 + C00423 + C00010 <=> C00020 + C00013 + C00540,ATP + trans-Cinnamate + CoA <=> AMP + Diphosphate + Cinnamoyl-CoA,6.2.1.12,"['C00002', 'C00423', 'C00010']","['C00020', 'C00013', 'C00540']","[1, 1, 1]","[1, 1, 1]"
1882,R02256,UDPglucose:trans-cinnamate beta-D-glucosyltransferase,C00029 + C00423 <=> C00015 + C04164,UDP-glucose + trans-Cinnamate <=> UDP + trans-Cinnamoyl beta-D-glucoside,2.4.1.177,"['C00029', 'C00423']","['C00015', 'C04164']","[1, 1]","[1, 1]"
1883,R02257,"Propane-1,2-diol:NAD+ oxidoreductase",C00583 + C00003 <=> C00424 + C00004 + C00080,"Propane-1,2-diol + NAD+ <=> (S)-Lactaldehyde + NADH + H+",1.1.1.77,"['C00583', 'C00003']","['C00424', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
1884,R02258,"(S)-Propane-1,2-diol:NAD+ oxidoreductase",C02917 + C00003 <=> C00424 + C00004 + C00080,"(S)-Propane-1,2-diol + NAD+ <=> (S)-Lactaldehyde + NADH + H+",1.1.1.77,"['C02917', 'C00003']","['C00424', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
1885,R02259,"Propane-1,2-diol:NADP+ oxidoreductase",C00583 + C00006 <=> C00424 + C00005 + C00080,"Propane-1,2-diol + NADP+ <=> (S)-Lactaldehyde + NADPH + H+",1.1.1.55,"['C00583', 'C00006']","['C00424', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
1886,R02260,(S)-lactaldehyde:NADP+ oxidoreductase,C00424 + C00006 <=> C00546 + C00005 + C00080,(S)-Lactaldehyde + NADP+ <=> Methylglyoxal + NADPH + H+,1.1.1.283       1.2.1.49,"['C00424', 'C00006']","['C00546', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
1887,R02261,2-dehydro-3-deoxy-L-rhamnonate (S)-lactaldehyde lyase (pyruvate-forming),C03979 <=> C00424 + C00022,2-Dehydro-3-deoxy-L-rhamnonate <=> (S)-Lactaldehyde + Pyruvate,4.1.2.53,['C03979'],"['C00424', 'C00022']",[1],"[1, 1]"
1888,R02262,L-Fuculose-1-phosphate lactaldehyde-lyase,C01099 <=> C00111 + C00424,L-Fuculose 1-phosphate <=> Glycerone phosphate + (S)-Lactaldehyde,4.1.2.17,['C01099'],"['C00111', 'C00424']",[1],"[1, 1]"
1889,R02263,L-Rhamnulose-1-phosphate lactaldehyde-lyase,C01131 <=> C00111 + C00424,L-Rhamnulose 1-phosphate <=> Glycerone phosphate + (S)-Lactaldehyde,4.1.2.19,['C01131'],"['C00111', 'C00424']",[1],"[1, 1]"
1890,R02264,Prostaglandin H2 + NADPH + H+ <=> Prostaglandin F2alpha + NADP+,C00427 + C00005 + C00080 <=> C00639 + C00006,Prostaglandin H2 + NADPH + H+ <=> Prostaglandin F2alpha + NADP+,1.1.1.-,"['C00427', 'C00005', 'C00080']","['C00639', 'C00006']","[1, 1, 1]","[1, 1]"
1891,R02265,"(5Z,13E)-(15S)-9alpha,11alpha-epidioxy-15-hydroxyprosta-5,13- dienoate E-isomerase",C00427 <=> C00584,Prostaglandin H2 <=> Prostaglandin E2,5.3.99.3,['C00427'],['C00584'],[1],[1]
1892,R02266,"(5Z,13E)-(15S)-9alpha,11alpha-epidioxy-15-hydroxyprosta-5,13- dienoate D-isomerase",C00427 <=> C00696,Prostaglandin H2 <=> Prostaglandin D2,5.3.99.2,['C00427'],['C00696'],[1],[1]
1893,R02267,"(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13- dienoate 6-isomerase",C00427 <=> C01312,Prostaglandin H2 <=> Prostaglandin I2,5.3.99.4,['C00427'],['C01312'],[1],[1]
1894,R02268,"(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-thromboxane-A2-isomerase",C00427 <=> C02198,Prostaglandin H2 <=> Thromboxane A2,5.3.99.5,['C00427'],['C02198'],[1],[1]
1895,R02269,"5,6-Dihydrouracil amidohydrolase",C00429 + C00001 <=> C02642,"5,6-Dihydrouracil + H2O <=> 3-Ureidopropionate",3.5.2.2,"['C00429', 'C00001']",['C02642'],"[1, 1]",[1]
1896,R02271,5-Aminolevulinate:pyruvate aminotransferase,C00430 + C00022 <=> C02800 + C00041,"5-Aminolevulinate + Pyruvate <=> 4,5-Dioxopentanoate + L-Alanine",2.6.1.43,"['C00430', 'C00022']","['C02800', 'C00041']","[1, 1]","[1, 1]"
1897,R02272,"(S)-4-Amino-5-oxopentanoate 4,5-aminomutase",C00430 <=> C03741,5-Aminolevulinate <=> (S)-4-Amino-5-oxopentanoate,5.4.3.8,['C00430'],['C03741'],[1],[1]
1898,R02273,5-aminopentanamide amidohydrolase,C00990 + C00001 <=> C00431 + C00014,5-Aminopentanamide + H2O <=> 5-Aminopentanoate + Ammonia,3.5.1.30,"['C00990', 'C00001']","['C00431', 'C00014']","[1, 1]","[1, 1]"
1899,R02274,5-aminopentanoate:2-oxoglutarate aminotransferase,C00431 + C00026 <=> C03273 + C00025,5-Aminopentanoate + 2-Oxoglutarate <=> 5-Oxopentanoate + L-Glutamate,2.6.1.48,"['C00431', 'C00026']","['C03273', 'C00025']","[1, 1]","[1, 1]"
1900,R02276,5-Acetamidopentanoate amidohydrolase,C03087 + C00001 <=> C00033 + C00431,5-Acetamidopentanoate + H2O <=> Acetate + 5-Aminopentanoate,3.5.1.63,"['C03087', 'C00001']","['C00033', 'C00431']","[1, 1]","[1, 1]"
1901,R02277,Secondary-alcohol:oxygen oxidoreductase,C01612 + C00007 <=> C01450 + C00027,Secondary alcohol + Oxygen <=> Ketone + Hydrogen peroxide,1.1.3.18,"['C01612', 'C00007']","['C01450', 'C00027']","[1, 1]","[1, 1]"
1902,R02278,2-Dehydro-3-deoxy-L-arabinonate hydro-lyase,C00684 <=> C00433 + C00001,"2-Dehydro-3-deoxy-L-arabinonate <=> 2,5-Dioxopentanoate + H2O",4.2.1.43,['C00684'],"['C00433', 'C00001']",[1],"[1, 1]"
1903,R02279,5-Dehydro-4-deoxy-D-glucarate hydro-lyase (decarboxylating),C00679 <=> C00433 + C00001 + C00011,"5-Dehydro-4-deoxy-D-glucarate <=> 2,5-Dioxopentanoate + H2O + CO2",4.2.1.41,['C00679'],"['C00433', 'C00001', 'C00011']",[1],"[1, 1, 1]"
1904,R02280,1-pyrroline-4-hydroxy-2-carboxylate aminohydrolase (decyclizing),C04282 + C00001 <=> C00433 + C00014,"1-Pyrroline-4-hydroxy-2-carboxylate + H2O <=> 2,5-Dioxopentanoate + Ammonia",3.5.4.22,"['C04282', 'C00001']","['C00433', 'C00014']","[1, 1]","[1, 1]"
1905,R02281,"Alkane,reduced-rubredoxin:oxygen 1-oxidoreductase",C01371 + 2 C00340 + C00007 + 2 C00080 <=> 2 C00435 + C00226 + C00001,Alkane + 2 Reduced rubredoxin + Oxygen + 2 H+ <=> 2 Oxidized rubredoxin + Primary alcohol + H2O,1.14.15.3,"['C01371', 'C00340', 'C00007', 'C00080']","['C00435', 'C00226', 'C00001']","[1, '2', 1, '2']","['2', 1, 1]"
1906,R02282,N2-Acetyl-L-ornithine:L-glutamate N-acetyltransferase,C00437 + C00025 <=> C00077 + C00624,N-Acetylornithine + L-Glutamate <=> L-Ornithine + N-Acetyl-L-glutamate,2.3.1.35,"['C00437', 'C00025']","['C00077', 'C00624']","[1, 1]","[1, 1]"
1907,R02283,N2-Acetyl-L-ornithine:2-oxoglutarate aminotransferase,C00437 + C00026 <=> C01250 + C00025,N-Acetylornithine + 2-Oxoglutarate <=> N-Acetyl-L-glutamate 5-semialdehyde + L-Glutamate,2.6.1.11,"['C00437', 'C00026']","['C01250', 'C00025']","[1, 1]","[1, 1]"
1908,R02284,L-5-Carboxymethylhydantoin amidohydrolase,C03703 + C00001 <=> C00438,L-5-Carboxymethylhydantoin + H2O <=> N-Carbamoyl-L-aspartate,3.5.2.4,"['C03703', 'C00001']",['C00438'],"[1, 1]",[1]
1909,R02285,N-Formimino-L-glutamate formiminohydrolase,C00439 + C00001 <=> C00025 + C00488,N-Formimino-L-glutamate + H2O <=> L-Glutamate + Formamide,3.5.3.8,"['C00439', 'C00001']","['C00025', 'C00488']","[1, 1]","[1, 1]"
1910,R02286,N-Formimino-L-glutamate iminohydrolase,C00439 + C00001 <=> C01045 + C00014,N-Formimino-L-glutamate + H2O <=> N-Formyl-L-glutamate + Ammonia,3.5.3.13,"['C00439', 'C00001']","['C01045', 'C00014']","[1, 1]","[1, 1]"
1911,R02287,5-Formiminotetrahydrofolate:L-glutamate N-formiminotransferase,C00664 + C00025 <=> C00101 + C00439,5-Formiminotetrahydrofolate + L-Glutamate <=> Tetrahydrofolate + N-Formimino-L-glutamate,2.1.2.5,"['C00664', 'C00025']","['C00101', 'C00439']","[1, 1]","[1, 1]"
1912,R02288,4-imidazolone-5-propanoate amidohydrolase,C03680 + C00001 <=> C00439,4-Imidazolone-5-propanoate + H2O <=> N-Formimino-L-glutamate,3.5.2.7,"['C03680', 'C00001']",['C00439'],"[1, 1]",[1]
1913,R02289,5-methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase,C00440 + C06021 + C00080 <=> C06020 + C00101,5-Methyltetrahydrofolate + Co(I) corrinoid protein + H+ <=> Methyl-Co(III) corrinoid protein + Tetrahydrofolate,2.1.1.258       2.1.1.378       2.1.1.385,"['C00440', 'C06021', 'C00080']","['C06020', 'C00101']","[1, 1, 1]","[1, 1]"
1914,R02291,L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating),C00441 + C00009 + C00006 <=> C03082 + C00005 + C00080,L-Aspartate 4-semialdehyde + Orthophosphate + NADP+ <=> 4-Phospho-L-aspartate + NADPH + H+,1.2.1.11,"['C00441', 'C00009', 'C00006']","['C03082', 'C00005', 'C00080']","[1, 1, 1]","[1, 1, 1]"
1915,R02293,"L-2,4-Diaminobutanoate:pyruvate aminotransferase",C03283 + C00022 <=> C00441 + C00041,"L-2,4-Diaminobutanoate + Pyruvate <=> L-Aspartate 4-semialdehyde + L-Alanine",2.6.1.46,"['C03283', 'C00022']","['C00441', 'C00041']","[1, 1]","[1, 1]"
1916,R02294,N-Ribosylnicotinamide:orthophosphate ribosyltransferase,C03150 + C00009 <=> C00153 + C00620,Nicotinamide-beta-riboside + Orthophosphate <=> Nicotinamide + alpha-D-Ribose 1-phosphate,2.4.2.1,"['C03150', 'C00009']","['C00153', 'C00620']","[1, 1]","[1, 1]"
1917,R02295,Nicotinate D-ribonucleoside:orthophosphate ribosyltransferase,C05841 + C00009 <=> C00253 + C00620 + C00080,Nicotinate D-ribonucleoside + Orthophosphate <=> Nicotinate + alpha-D-Ribose 1-phosphate + H+,2.4.2.1,"['C05841', 'C00009']","['C00253', 'C00620', 'C00080']","[1, 1]","[1, 1, 1]"
1918,R02296,cytidine:orthophosphate alpha-D-ribosyltransferase,C00475 + C00009 <=> C00380 + C00620,Cytidine + Orthophosphate <=> Cytosine + alpha-D-Ribose 1-phosphate,2.4.2.2,"['C00475', 'C00009']","['C00380', 'C00620']","[1, 1]","[1, 1]"
1919,R02297,xanthosine:orthophosphate ribosyltransferase,C01762 + C00009 <=> C00385 + C00620,Xanthosine + Orthophosphate <=> Xanthine + alpha-D-Ribose 1-phosphate,2.4.2.1,"['C01762', 'C00009']","['C00385', 'C00620']","[1, 1]","[1, 1]"
1920,R02298,Pyrimidine-nucleoside:orthophosphate alpha-D-ribosyltransferase,C03169 + C00009 <=> C00396 + C00620 + C00080,Pyrimidine nucleoside + Orthophosphate <=> Pyrimidine + alpha-D-Ribose 1-phosphate + H+,2.4.2.2,"['C03169', 'C00009']","['C00396', 'C00620', 'C00080']","[1, 1]","[1, 1, 1]"
1921,R02300,S-Aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming),C03479 <=> C00445 + C00001,"Folinic acid <=> 5,10-Methenyltetrahydrofolate + H2O",2.1.2.10,['C03479'],"['C00445', 'C00001']",[1],"[1, 1]"
1922,R02301,5-Formyltetrahydrofolate cyclo-ligase (ADP-forming),C00002 + C03479 + C00080 <=> C00008 + C00009 + C00445,"ATP + Folinic acid + H+ <=> ADP + Orthophosphate + 5,10-Methenyltetrahydrofolate",6.3.3.2,"['C00002', 'C03479', 'C00080']","['C00008', 'C00009', 'C00445']","[1, 1, 1]","[1, 1, 1]"
1923,R02302,5-Formiminotetrahydrofolate ammonia-lyase (cyclizing),C00664 + C00080 <=> C00445 + C00014,"5-Formiminotetrahydrofolate + H+ <=> 5,10-Methenyltetrahydrofolate + Ammonia",4.3.1.4,"['C00664', 'C00080']","['C00445', 'C00014']","[1, 1]","[1, 1]"
1924,R02303,ATP:farnesyl-diphosphate phosphotransferase,C00002 + C00448 <=> C00008 + C03115,"ATP + trans,trans-Farnesyl diphosphate <=> ADP + Farnesyl triphosphate",2.7.4.18,"['C00002', 'C00448']","['C00008', 'C03115']","[1, 1]","[1, 1]"
1925,R02305,"2-trans,6-trans-farnesyldiphosphate diphosphate-lyase (cyclizing, pentalenene-forming)",C00448 <=> C01841 + C00013,"trans,trans-Farnesyl diphosphate <=> Pentalenene + Diphosphate",4.2.3.7,['C00448'],"['C01841', 'C00013']",[1],"[1, 1]"
1926,R02306,"trans,trans-farnesyl-diphosphate diphosphate-lyase (cyclizing, trichodiene-forming)",C00448 <=> C01860 + C00013,"trans,trans-Farnesyl diphosphate <=> Trichodiene + Diphosphate",4.2.3.6,['C00448'],"['C01860', 'C00013']",[1],"[1, 1]"
1927,R02307,"trans,trans-Farnesyl-diphosphate farnesyltransferase (bicyclizing)",C00448 <=> C02004 + C00013,"trans,trans-Farnesyl diphosphate <=> Aristolochene + Diphosphate",4.2.3.9,['C00448'],"['C02004', 'C00013']",[1],"[1, 1]"
1928,R02310,"trans,trans-Farnesyl-diphosphate sesquiterpenoid-lyase (isomerizing)",C00448 <=> C06111,"trans,trans-Farnesyl diphosphate <=> Nerolidyl diphosphate",5.5.1.-,['C00448'],['C06111'],[1],[1]
1929,R02311,"2-trans,6-trans-Farnesyl-diphosphate diphosphate-lyase (cyclizing, (+)-delta-cadinene-forming)",C00448 <=> C06394 + C00013,"trans,trans-Farnesyl diphosphate <=> delta-Cadinene + Diphosphate",4.2.3.13,['C00448'],"['C06394', 'C00013']",[1],"[1, 1]"
